uf,codigo_municipio,municipio,taxa_aprovacao_2023,indicador_rendimento_2023,nota_matematica_2023,nota_portugues_2023,nota_media_2023,ideb_2023
MA,2100550,Amapá do Maranhão,93.8,0.933571,230.55,231.59,4.369,4.1
MA,2100600,Amarante do Maranhão,85.0,0.849984,231.17,231.15,4.372,3.7
MA,2100709,Anajatuba,85.4,0.853614,251.42,254.05,5.091167,4.3
MA,2100808,Anapurus,87.2,0.867855,221.03,225.55,4.109667,3.6
MA,2100832,Apicum-Açu,89.8,0.89976,228.47,230.26,4.312167,3.9
MA,2100873,Araguanã,95.3,0.9444,206.61,215.35,3.699333,3.5
MA,2100907,Araioses,81.9,0.819571,229.51,242.09,4.526667,3.7
MA,2100956,Arame,86.7,0.866831,219.97,225.61,4.093,3.5
MA,2101004,Arari,96.9,0.969178,264.23,272.05,5.604667,5.4
MA,2101103,Axixá,94.6,0.945692,277.73,274.95,5.878,5.6
MA,2101202,Bacabal,98.5,0.984716,248.87,253.33,5.036667,5.0
MA,2101251,Bacabeira,92.6,0.926887,239.73,243.16,4.714833,4.4
MA,2101301,Bacuri,93.7,0.936942,250.91,253.86,5.0795,4.8
MA,2101350,Bacurituba,100.0,1.0,231.8,242.87,4.577833,4.6
MA,2101400,Balsas,89.9,0.899254,234.75,244.8,4.659167,4.2
MA,2101509,Barão de Grajaú,96.9,0.969008,250.71,250.82,5.0255,4.9
MA,2101608,Barra do Corda,90.3,0.903608,239.5,248.3,4.796667,4.3
MA,2101707,Barreirinhas,95.5,0.955272,233.45,241.0,4.574167,4.4
MA,2101731,Belágua,91.2,0.912656,221.1,229.33,4.173833,3.8
MA,2101772,Bela Vista do Maranhão,93.6,0.935952,238.24,231.66,4.498333,4.2
MA,2101806,Benedito Leite,96.1,0.961925,256.48,257.83,5.2385,5.0
MA,2101905,Bequimão,96.5,0.964018,214.25,224.72,3.982833,3.8
MA,2101939,Bernardo do Mearim,89.6,0.898756,236.4,231.73,4.468833,4.0
MA,2101970,Boa Vista do Gurupi,95.5,0.956329,219.03,226.33,4.089333,3.9
MA,2102002,Bom Jardim,86.3,0.864464,230.05,232.52,4.376167,3.8
MA,2102036,Bom Jesus das Selvas,96.8,0.967869,231.73,231.56,4.388167,4.2
MA,2102077,Bom Lugar,100.0,1.0,247.87,246.51,4.906333,4.9
MA,2102101,Brejo,97.5,0.975091,225.32,230.42,4.262333,4.2
MA,2102150,Brejo de Areia,87.7,0.877286,227.3,237.69,4.4165,3.9
MA,2102200,Buriti,90.4,0.902869,217.51,223.34,4.014167,3.6
MA,2102309,Buriti Bravo,96.3,0.963338,245.62,239.62,4.754,4.6
MA,2102325,Buriticupu,96.7,0.967231,225.79,229.8,4.259833,4.1
MA,2102358,Buritirana,92.1,0.920817,218.35,222.5,4.014167,3.7
MA,2102374,Cachoeira Grande,89.6,0.895035,224.1,234.78,4.314667,3.9
MA,2102408,Cajapió,96.1,0.961889,205.5,213.78,3.654667,3.5
MA,2102507,Cajari,84.4,0.845274,226.93,219.38,4.105167,3.5
MA,2102556,Campestre do Maranhão,97.6,0.976943,235.36,238.05,4.556833,4.5
MA,2102606,Cândido Mendes,95.5,0.955997,243.63,241.22,4.7475,4.5
MA,2102705,Cantanhede,90.2,0.902693,246.37,247.87,4.904,4.4
MA,2102754,Capinzal do Norte,95.7,0.95612,248.3,255.83,5.068833,4.8
MA,2102804,Carolina,88.0,0.88263,238.04,248.26,4.771667,4.2
